Uniprot_ID	KEGG_rno	BRENDA	Complex Portal	EMBL	EcoGene	Ensembl_Transcript	Ensembl_Protein	Ensembl_Gene	Entrez Gene	Enzyme Nomenclature	GenBank	HGNC	HGNC Accession number	HomoloGene	InterPro	KEGG Genes	NCBI Protein	Pfam	Reactome	RefSeq	Rfam	Uniprot-TrEMBL	WikiPathways	Wikidata	miRBase Sequence	miRBase mature sequence	pato
Q6IRK1	NA			BC070892					64370						IPR000994,IPR001714,IPR002468,IPR018349,IPR036005,IPR036388,IPR036390,IPR050247			PF00557		XP_038935782.1							
Q6IV68	rno:312641			AY621075					312641						IPR029448	rno:312641		PF14631	R-RNO-6783310	NP_001001719.1							
Q6J2U6	rno:362277			AY603473,BC098633					362277						IPR001841,IPR008598,IPR013083,IPR013087,IPR017907,IPR027370,IPR034734,IPR042716,IPR051438	rno:362277		PF05605,PF13445,PF18574	R-RNO-983168	NP_001001517.1							
Q6JWR2	rno:291840			AY294328,BC086369					291840						IPR013057	rno:291840		PF01490		NP_001003705.1,NP_001420930.1,XP_006255129.1							
Q6L711	rno:292126			AB177406					292126						IPR000001,IPR000742,IPR001254,IPR001314,IPR001881,IPR009003,IPR013806,IPR018056,IPR018114,IPR033116,IPR038178,IPR043504,IPR050127	rno:292126		PF00008,PF00051,PF00089		NP_001001505.1							
Q6MFW4	rno:294190			BX883052					294190						IPR000276,IPR000725,IPR017452,IPR050516	rno:294190		PF13853		NP_001001397.1							
Q6MFW6	rno:405349			BX883052					405203,405349						IPR000276,IPR000725,IPR017452,IPR050516	rno:405203,rno:405349		PF13853		NP_001001421.1,NP_001001422.1							
Q6MFW7	rno:405202			BX883052					405202						IPR000276,IPR000725,IPR017452	rno:405202		PF13853		NP_001001423.1							
Q6MFX0	rno:294196			BX883052					294196						IPR000276,IPR000725,IPR017452	rno:294196		PF13853		NP_001001424.1							
Q6MFX4	rno:405201			BX883052					405201						IPR000276,IPR000725,IPR017452	rno:405201		PF13853		NP_001001427.1							
Q6MFX5	rno:405199			BX883052					405199						IPR000276,IPR000725,IPR017452	rno:405199		PF13853		NP_001001428.1							
Q6MFX6	rno:294203			BX883052					294203						IPR000276,IPR000725,IPR017452	rno:294203		PF13853		NP_001001429.1							
Q6MFX7	rno:294204			BX883052					294204						IPR000276,IPR000725,IPR017452	rno:294204		PF13853		NP_997658.1							
Q6MFX9	rno:24558								24558						IPR003599,IPR007110,IPR013106,IPR013783,IPR016663,IPR036179,IPR050504	rno:24558		PF07686		NP_073159.2							
Q6MFY6	rno:294207			BC079252,BX883051					294207						IPR011107	rno:294207		PF07491		NP_997707.2							
Q6MFY8	rno:365528			BX883051					365528						IPR000315,IPR001841,IPR013083,IPR017907,IPR018957,IPR050143	rno:365528		PF00097		NP_001009175.1,XP_063135397.1							
Q6MG08	rno:85493			AF293383,BX883048					85493						IPR003439,IPR003593,IPR017871,IPR027417,IPR050611	rno:85493		PF00005	R-RNO-382556	NP_001103353.1							
Q6MG59	NA			BX883045											IPR028070,IPR048308			PF15096	R-RNO-114604	NP_001003976.1							
Q6MG71	rno:294255			BC079178,BX883045					294255						IPR007603	rno:294255		PF04515	R-RNO-1483191,R-RNO-425366	NP_997706.1,XP_063135082.1							
Q6MG79	rno:24233			BX883045					24233						IPR000020,IPR001134,IPR001599,IPR001840,IPR002890,IPR008930,IPR008993,IPR009048,IPR011625,IPR011626,IPR013783,IPR018081,IPR018933,IPR019742,IPR036595,IPR040839,IPR041555,IPR047565,IPR048847,IPR050473,IPR054587	rno:24233		PF00207,PF01759,PF01821,PF01835,PF07677,PF07678,PF07703,PF17789,PF17791,PF21145,PF22661		NP_113692.2							
Q6MGA6	rno:24967			BC091161,KC222887,KC222889					24967						IPR000243,IPR001353,IPR016050,IPR023333,IPR029055	rno:24967		PF00227		NP_036840.2							
Q6MGA9	rno:294276			BX883042					294276						IPR001487,IPR018359,IPR027353,IPR036427,IPR038336,IPR043508,IPR043509,IPR050935	rno:294276		PF00439,PF17035		NP_997660.1,XP_017443518.1,XP_017457067.1,XP_017457068.1,XP_017457351.1,XP_063135088.1							
Q6MGB4	rno:294281			AC098547,BC079141,BX883042,CH473988					294281						IPR003689	rno:294281		PF02535		NP_001008885.1,NP_001158216.1							
Q6MGC2	rno:171079			BC126083					171079						IPR002659	rno:171079		PF01762		NP_598237.2							
Q6MGC7	rno:309630			BC095905					309630						IPR000210,IPR011333,IPR013087,IPR036236,IPR050457	rno:309630		PF00096,PF00651		NP_001009172.1,XP_006256185.1,XP_017457130.1,XP_038954607.1							
Q6MGD2	rno:294289			BC100649					294289						IPR000210,IPR011333,IPR013087,IPR036236,IPR050457	rno:294289		PF00651		NP_998729.1,XP_006256183.1,XP_006256184.1,XP_017457079.1,XP_038954440.1							
Q6P502	rno:295230	3.6.4.B10		BC063178					295230						IPR002194,IPR002423,IPR012719,IPR017998,IPR027409,IPR027410,IPR027413,IPR053374,IPR054827	rno:295230		PF00118	R-RNO-390471,R-RNO-6814122	NP_954522.1							
Q6P6R7	rno:362963			AB091009,BC062060					362963						IPR000195,IPR001452,IPR004012,IPR035833,IPR035969,IPR036028,IPR037213,IPR050302	rno:362963		PF00018,PF00566,PF02759		NP_942082.2							
Q6P6S3	rno:64027			AF245225,BC062051,BC095901,CK598656					64027						IPR001870,IPR003877,IPR003879,IPR006574,IPR013320,IPR043136,IPR050143	rno:64027		PF00622,PF13765		NP_071597.2							
Q6P6S5	rno:288233			BC062049					288233						IPR028945,IPR029012	rno:288233		PF04420		NP_955405.1							
Q6P6T4	rno:192360			AF335571,BC062038					192360						IPR001680,IPR005108,IPR011041,IPR011047,IPR015943,IPR050630,IPR055439,IPR055442	rno:192360		PF03451,PF23409,PF23414		NP_001401579.1,NP_620276.1							
Q6P6T9	rno:85245								85245						IPR000225,IPR002652,IPR011989,IPR016024,IPR024931,IPR032413,IPR036975	rno:85245		PF00514,PF01749,PF16186	R-RNO-5693548	NP_001257731.1,NP_445935.2,XP_063126070.1							
Q6P734	rno:295703			BC061860					295703						IPR000215,IPR023795,IPR023796,IPR036186,IPR042178,IPR042185	rno:295703		PF00079	R-RNO-114608,R-RNO-140837,R-RNO-977606	NP_001416777.1,NP_954524.1,XP_006234509.1							
Q6P747	rno:313647			BC061837					313647						IPR005818,IPR005819,IPR036388,IPR036390	rno:313647		PF00538		NP_954539.1,XP_038965990.1							
Q6P767	rno:365548			BC061813					365548						IPR016201,IPR052304	rno:365548				NP_001013256.1,XP_006256315.1							
Q6P777	rno:290635			BC061799					290635						IPR018798,IPR023340,IPR023341,IPR040335	rno:290635		PF10240	R-RNO-917729	NP_955407.1							
Q6P7C4	rno:311803			BC061729					311803						IPR000483,IPR001611,IPR003591,IPR032675,IPR051432	rno:311803		PF13855		NP_001014075.1							
Q6P7D5	rno:404280			BC061715					404280						IPR009786,IPR053719	rno:404280		PF07084	R-RNO-200425	NP_996833.1,XP_006256734.1,XP_017457615.1							
Q6P7Q1	rno:362704			BC061573					362704						IPR010358	rno:362704		PF06113	R-RNO-5689901,R-RNO-5693565,R-RNO-5693571,R-RNO-5693607,R-RNO-69473	NP_954891.1,XP_006239864.1,XP_017449703.1,XP_038968389.1							
Q6P9T8	rno:296554			BC060597					296554						IPR000217,IPR002453,IPR003008,IPR008280,IPR013838,IPR017975,IPR018316,IPR023123,IPR036525,IPR037103	rno:296554		PF00091,PF03953	R-RNO-190840,R-RNO-2132295,R-RNO-2467813,R-RNO-2500257,R-RNO-2565942,R-RNO-3371497,R-RNO-380259,R-RNO-380270,R-RNO-380284,R-RNO-380320,R-RNO-437239,R-RNO-5610787,R-RNO-5617833,R-RNO-5620912,R-RNO-5620924,R-RNO-5626467,R-RNO-5663220,R-RNO-6798695,R-RNO-6807878,R-RNO-6811434,R-RNO-6811436,R-RNO-68877,R-RNO-8852276,R-RNO-8854518,R-RNO-8955332,R-RNO-9646399,R-RNO-9648025,R-RNO-9668328,R-RNO-983189,R-RNO-9833482	NP_954525.1							
Q6P9U8	rno:299899			BC060586,CH473950					299899						IPR000555,IPR027524,IPR037518,IPR045810,IPR050242	rno:299899		PF01398,PF19445	R-RNO-156827,R-RNO-72649,R-RNO-72689,R-RNO-72695,R-RNO-72702	NP_942046.1,XP_017449979.1							
Q6P9X9	rno:286894			AJ010750,BC060539					286894						IPR031431	rno:286894		PF17061		NP_775137.1							
Q6P9Y4	NA								85333						IPR002067,IPR002113,IPR018108,IPR023395			PF00153		NP_445967.2							
Q6P9Z6	rno:494343			AY185508,BC060519					494343						IPR000716,IPR036857,IPR041630,IPR043406,IPR049420	rno:494343		PF00086,PF18635,PF21283		NP_001009540.2							
Q6PNM1	rno:407756			AY590499,BC092588					407756						IPR003599,IPR007110,IPR013783,IPR036179,IPR039257	rno:407756			R-RNO-9927353	NP_998795.1							
Q6PTT0	NA			AY580165											IPR001261,IPR002933,IPR010159,IPR011650,IPR036264,IPR052083			PF01546,PF07687									
Q6PW52	NA			AC136540					29709						IPR005437,IPR005439,IPR006028,IPR006029,IPR006201,IPR006202,IPR018000,IPR036719,IPR036734,IPR038050			PF02931,PF02932		NP_001380704.1,XP_006246187.1							
Q6Q0N3	rno:290558			AY569011,BC088431					290558						IPR008380,IPR016695,IPR023214,IPR036412	rno:290558		PF05761		NP_001009271.1							
Q6QA27	rno:362172			AY551091					362172						IPR000315,IPR050143	rno:362172		PF00643		NP_001013221.1							
Q6QGW5	rno:252891			AY026354,AY542868					252891						IPR009917,IPR040243	rno:252891		PF07304		NP_899158.3							
Q6QI25	NA			AY539934					360618						IPR007203			PF04061	R-RNO-1660661,R-RNO-6798695	NP_001041362.1,NP_001400222.1,NP_001400223.1,XP_006247407.1,XP_006247408.1,XP_063125492.1,XP_063125493.1							
Q6QI68	rno:292788			AY539891,BC100104					292788						IPR019379	rno:292788		PF10251	R-RNO-1251985,R-RNO-193692,R-RNO-205043,R-RNO-3928665,R-RNO-9013507,R-RNO-9017802,R-RNO-9839383	NP_001008764.1,XP_006228832.1							
Q6QI89	rno:317413			AY539870,BC083606					317413						IPR008676,IPR026541,IPR038217	rno:317413		PF05712		NP_001007715.1,NP_001421067.1,NP_001421068.1,NP_001421069.1,NP_001421070.1,NP_001421071.1,NP_001421072.1,XP_006257357.1,XP_006257358.1,XP_006257359.1,XP_017457558.1							
Q6QQT9	NA			AY529198											IPR000818,IPR016361,IPR038096,IPR041086,IPR050937			PF01285,PF17725									
Q6RIA2	rno:300795			AY496944					300795						IPR031444,IPR040444	rno:300795		PF15715	R-RNO-5656169	NP_958821.1,XP_063121231.1,XP_063121232.1							
Q6SA80	rno:295588			AY461427					295588						IPR001806,IPR003578,IPR005225,IPR027417,IPR041843	rno:295588		PF00071	R-RNO-9696264	NP_001007642.1							
Q6TEK3	rno:399684			AY423048					399684						IPR012932,IPR038354,IPR042406	rno:399684		PF07884	R-RNO-6806664	NP_976083.1,XP_008764222.1							
Q6TUG0	rno:360734			AY387070,BC093384					360734						IPR001623,IPR002939,IPR008971,IPR018253,IPR036869,IPR051736	rno:360734		PF00226,PF01556		NP_001015021.1							
Q6TXF1	rno:309945			AY383703					309945						IPR011021,IPR011022,IPR014752,IPR014756,IPR050357	rno:309945		PF00339,PF02752		NP_001007798.1							
Q6UE39	rno:311039			AY371923					311039						IPR000772,IPR001173,IPR029044,IPR035992,IPR045885	rno:311039		PF00535,PF00652	R-RNO-913709	NP_001418503.1,NP_954537.1,XP_017447165.1							
Q6V9V9	rno:373542			BC087092					373542						IPR000719,IPR011009,IPR017441,IPR035060,IPR046409,IPR048288,IPR050629	rno:373542		PF00069,PF20929		NP_908938.1							
Q6W3E9	rno:361612	1.14.11.2		AY313450					361612						IPR005123,IPR006620,IPR011990,IPR013547,IPR044862,IPR045054	rno:361612		PF08336,PF13640,PF23558	R-RNO-1650814	NP_942070.1							
Q6WRH9	rno:310448			AY273816					310448						IPR000372,IPR000483,IPR001611,IPR003591,IPR003598,IPR003599,IPR007110,IPR013098,IPR013106,IPR013783,IPR032675,IPR036179,IPR050467	rno:310448		PF07679,PF13855,PF13927		NP_942063.1							
Q6WWW3	rno:299139			AY266018					299139						IPR013057	rno:299139		PF01490		NP_001013117.1							
Q6X9T8	rno:474146			AY247020					474146						IPR009861	rno:474146		PF07213	R-RNO-198933	NP_001005900.1							
Q6XKD3	rno:309212			AY228550,CH473953					309212						IPR000276,IPR000826,IPR017452	rno:309212		PF00001	R-RNO-391908,R-RNO-418594	NP_001012070.1,XP_006231102.1,XP_008758453.1,XP_017444751.1,XP_017444752.1,XP_017444753.1,XP_038935774.1,XP_038935775.1,XP_038935777.1,XP_063120523.1,XP_063120525.1							
Q6XQG8	rno:302302			AY216524,BC111079					302302						IPR000863,IPR016469,IPR027417,IPR051135	rno:302302		PF00685	R-RNO-2022870	NP_997483.1							
Q6XQN1	rno:315085	6.3.4.21		AY214330					315085						IPR006405,IPR007229,IPR013785,IPR036068,IPR040727,IPR041619	rno:315085		PF17767,PF17956	R-RNO-197264,R-RNO-6798695	NP_997492.1							
Q6Y290	rno:652955			AY190520					652955						IPR001841,IPR003137,IPR013083,IPR046450,IPR051834	rno:652955		PF02225,PF13639	R-RNO-983168	NP_001032747.1							
Q6Y306	rno:291923			AY188179,AY188180					291923						IPR003439,IPR003593,IPR011527,IPR017871,IPR027417,IPR036640,IPR050173	rno:291923		PF00005,PF00664		NP_955409.1							
Q70VB1	rno:294394			AJ535460					294394						IPR000068,IPR000337,IPR001828,IPR011500,IPR017978,IPR017979,IPR028082,IPR038550	rno:294394		PF00003,PF01094,PF07562	R-RNO-416476,R-RNO-420499	NP_001258035.1							
Q710E6	rno:360863			AJ421447					360863						IPR008979,IPR012919,IPR045120	rno:360863		PF07738		NP_955435.1							
Q719N3	rno:303439			AF540876,BC081965					303439						IPR004254,IPR005744	rno:303439		PF03006		NP_001007674.1,XP_006247188.1							
Q71LX6	rno:311098			AF466694					311098						IPR012510,IPR030072	rno:311098		PF08043		NP_973718.1							
Q71UF4	rno:83712			AF090306,BC062012					83712						IPR001680,IPR015943,IPR019775,IPR020472,IPR022052,IPR036322,IPR050459	rno:83712		PF00400,PF12265	R-RNO-2559580,R-RNO-3214815,R-RNO-3214847,R-RNO-3214858,R-RNO-606279,R-RNO-6804758,R-RNO-73762,R-RNO-8943724,R-RNO-8951664	NP_114004.1							
Q75N33	rno:89868			AB060653,AB178524					89868						IPR024298,IPR024340	rno:89868		PF12931,PF12932	R-RNO-204005	NP_446023.2,XP_008767904.1,XP_008767907.1,XP_017454437.1,XP_017454438.1,XP_017454439.1,XP_017454440.1,XP_063128728.1,XP_063128729.1							
Q75NT5	rno:498999			AB174900,AY367561					498999						IPR000014,IPR011598,IPR013767,IPR035965,IPR036638,IPR039091,IPR039092	rno:498999		PF00010,PF00989	R-RNO-211945,R-RNO-211976,R-RNO-211981,R-RNO-8937144	NP_001019456.1							
Q765I2	rno:378939			AB116019,AY321314					378939						IPR001483,IPR043255	rno:378939			R-RNO-375276,R-RNO-416476	NP_937766.1							
Q767I8	rno:116741			AB113387,AF539750,BC085793					116741						IPR002126,IPR013164,IPR015919,IPR020894,IPR031904,IPR050174	rno:116741		PF00028,PF08266,PF15974		NP_446385.1							
Q76IC5	rno:290648	3.4.19.3		AB098134,BC098645					290648						IPR000816,IPR016125,IPR033693,IPR033694,IPR036440	rno:290648		PF01470		NP_973717.1							
Q76IQ7	rno:311615			AB096685					311615						IPR009071,IPR036910,IPR051365	rno:311615		PF00505		NP_955424.2,XP_017447283.1,XP_038961046.1,XP_038961047.1,XP_038961048.1							
Q76M99	rno:286961			AB051836,CH473953					286961						IPR005828,IPR020846,IPR036259	rno:286961		PF00083		NP_775424.1							
Q76MT4	rno:366203			AB038233					366203						IPR012580,IPR039754,IPR056750	rno:366203		PF08159,PF25121		NP_001094241.1,NP_001421357.1,NP_001421358.1,XP_006235167.1,XP_006235168.1,XP_017447439.1,XP_063140357.1							
Q78ZR5	rno:171160			AF474162,AF492685,BC070950					171160						IPR001356,IPR009057,IPR039162	rno:171160		PF00046		NP_598305.2,XP_038947523.1,XP_038947524.1,XP_038947525.1,XP_038947526.1							
Q794E4	rno:64200			AB022209,BC097275,BC103634					64200						IPR000504,IPR012677,IPR012996,IPR035979,IPR050666	rno:64200		PF00076,PF08080	R-RNO-72163,R-RNO-72203	NP_001032362.1,NP_001032363.1,NP_001032364.1,NP_071792.1,XP_008761484.1,XP_017448358.1,XP_017448359.1,XP_017448360.1,XP_017448361.1,XP_017448362.1,XP_017448363.1,XP_017448364.1,XP_038964241.1,XP_038964242.1,XP_063142730.1							
Q7M0E3	rno:502674			CF111187					502674						IPR002108,IPR017904,IPR029006	rno:502674		PF00241		NP_001028838.1							
Q7M6Z3	rno:289372			BK001057					289372						IPR001214,IPR002893,IPR011990,IPR044419,IPR046341,IPR050869	rno:289372		PF00856,PF01753	R-RNO-3214841,R-RNO-6804760	NP_996733.1							
Q7M6Z5	rno:246209			AABR03104681,AABR03106101,AABR03107397,AABR03107556,BK001053					246209						IPR001752,IPR019821,IPR027417,IPR027640,IPR036961	rno:246209		PF00225	R-RNO-2132295,R-RNO-6811434,R-RNO-983189	NP_932167.1,XP_006253618.1,XP_008769646.1,XP_063132127.1,XP_063132128.1							
Q7M733	rno:309446			AC093941,BC086975,BK000658					309446						IPR017218,IPR046822,IPR046823	rno:309446		PF15702,PF20468		NP_852097.1							
Q7M734	rno:305427			AC099417,BK000651					305427						IPR004878	rno:305427		PF03189		NP_852098.1							
Q7TM96	NA			AY310142,AY321329											IPR003604,IPR013087,IPR022755,IPR036236,IPR040025,IPR041661			PF12171,PF12756									
Q7TMD5	rno:192359			AB032932,AB097075,AB097076,AB097077,BC087712					192359						IPR000571,IPR040366	rno:192359		PF14608		NP_001029123.1,NP_620275.1							
Q7TMR7	rno:303772			AC106648,BC081999					303772						IPR011701,IPR020846,IPR030766,IPR036259,IPR050327	rno:303772		PF07690		NP_001402061.1,NP_942055.1,XP_006247675.1,XP_006247676.1,XP_006247679.1,XP_006247680.1,XP_006247681.1,XP_008766598.1,XP_038942157.1,XP_038942159.1							
Q7TNK3	rno:360204			AY336973					360204						IPR003309,IPR013087,IPR036236,IPR038269	rno:360204		PF00096,PF02023		NP_892000.1,XP_006254526.1,XP_006254527.1							
Q7TNY6	rno:289312			AY336075					289312						IPR000582,IPR009038,IPR014352,IPR022408,IPR035984,IPR036598,IPR052269	rno:289312		PF00887,PF13897	R-RNO-432722	NP_878263.1							
Q7TNZ5	rno:359959			AY327411					359959						IPR001806,IPR005225,IPR020849,IPR027417	rno:359959		PF00071		NP_877977.1							
Q7TNZ6	rno:303605			AY327409,BC081911					303605						IPR000719,IPR011009,IPR047173	rno:303605		PF00069	R-RNO-380972	NP_877972.1							
Q7TP15	NA			AY325240											IPR000845,IPR010044,IPR035994			PF01048	R-RNO-1237112	NP_001041332.1							
Q7TP17	rno:361542			AY325237,AY325238					361542						IPR000504,IPR000571,IPR003954,IPR009145,IPR012677,IPR035979	rno:361542		PF00076,PF00642	R-RNO-159236,R-RNO-72163,R-RNO-72187,R-RNO-73856	NP_001008775.1,XP_006228838.1							
Q7TP39	NA			AY325210																NP_001037731.1							
Q7TP53	NA			AY325195											IPR003531,IPR003961,IPR013783,IPR036116,IPR039471,IPR048648,IPR053856			PF15874,PF21605,PF22012									
Q7TP65	NA			AY325182											IPR002110,IPR003887,IPR011015,IPR035006,IPR036770,IPR056237			PF00023,PF03020,PF24567	R-RNO-2995383,R-RNO-9013404,R-RNO-9013408	NP_001041366.1							
Q7TP91	NA			AC126134,AY325150											IPR002994,IPR002995,IPR045214			PF02077,PF02104									
Q7TPL3	rno:494521			AY318756					494521						IPR000210,IPR003131,IPR011333,IPR045068	rno:494521		PF02214		NP_001009973.1							
Q7TQ16	rno:497902			AY323237					497902						IPR004205,IPR036642	rno:497902		PF02939	R-RNO-611105,R-RNO-9837999,R-RNO-9865881	NP_001020305.1,XP_006246378.1							
Q7TQ77	NA			AY310154											IPR008636			PF05622									
Q7TQ90	NA			AY310136											IPR002328,IPR011032,IPR013149,IPR013154,IPR014183,IPR020843,IPR036291			PF00107,PF08240									
Q7TQM3	rno:360903			AJ536020,BC097261					360903						IPR003598,IPR003599,IPR007110,IPR013098,IPR013783,IPR036179,IPR052615	rno:360903		PF07679,PF13927	R-RNO-5658623	NP_954545.1							
Q7TS62	NA			AY141038					24888						IPR002475,IPR003093,IPR013279,IPR020717,IPR020728,IPR020731,IPR026298,IPR036834,IPR046371			PF00452,PF02180		NP_001028844.1,NP_113723.2,XP_006235326.1,XP_017446967.1,XP_017446968.1,XP_017446969.1							
Q7TSA0	rno:287156			AY303973					287156						IPR001806,IPR002048,IPR011992,IPR013566,IPR013567,IPR018247,IPR020860,IPR021181,IPR027417,IPR052266	rno:287156		PF00071,PF08355,PF08356	R-RNO-9013419	NP_861544.1,XP_017452558.1							
Q7TSL3	rno:301674			AY274810					301674						IPR001810,IPR003126,IPR006626,IPR006633,IPR007742,IPR011050,IPR012334,IPR022441,IPR036047,IPR039448,IPR047504,IPR047505,IPR051550	rno:301674		PF02207,PF05048,PF12937,PF13229	R-RNO-8951664,R-RNO-983168	NP_853662.1,XP_017449602.1							
Q7TSN5	rno:307475			AJ564168					307475						IPR000276,IPR017452	rno:307475		PF00001		NP_853664.1							
Q7TSP2	rno:353302			AY291580,AY291581					353302						IPR001752,IPR027417,IPR031794,IPR036961,IPR044986	rno:353302		PF00225,PF15908	R-RNO-2132295,R-RNO-6811434,R-RNO-983189	NP_853666.1							
Q7TSX9	rno:353228			AY283175					353228						IPR026775,IPR027377	rno:353228		PF13695		NP_852050.1							
Q7TSY2	rno:353230			AY278321					353230						IPR019372	rno:353230		PF10242		NP_852052.3							
Q7TSY4	NA			AY278363,AY278364											IPR000436,IPR035976,IPR040514,IPR050350			PF00084,PF18453									
Q80T02	rno:338443			AB086172,AB089310					338443						IPR000276,IPR017452	rno:338443		PF00001	R-RNO-373076	NP_808797.1,XP_006245297.1							
Q80W66	rno:293451			AY240873,BC128721					293451						IPR000863,IPR027417,IPR037359	rno:293451		PF00685	R-RNO-2022928	NP_852035.1							
Q80W90	rno:289048			AF527619,AY273890,BC128722					289048						IPR001356,IPR001781,IPR009057,IPR017970,IPR050453	rno:289048		PF00046,PF00412		NP_852032.1,XP_006249978.1,XP_006249981.1							
Q80W92	rno:307842			AY220476					307842						IPR011989,IPR016024,IPR021841,IPR026825	rno:307842		PF11916,PF12755	R-RNO-1660514,R-RNO-1660516,R-RNO-1660517	NP_808791.1							
Q80WA4	NA			AY262017											IPR004087,IPR004088,IPR036612,IPR047274,IPR047275,IPR047276			PF00013									
Q80X08	rno:297530			AY257251					297530						IPR029341	rno:297530		PF15255		NP_954677.1							
Q80XX4	rno:290553			AY254906					290553						IPR031394	rno:290553		PF15682		NP_852033.1							
Q80Z32	rno:313479			AB105378					313479						IPR001025,IPR003593,IPR003959,IPR015163,IPR027417,IPR041083,IPR043151,IPR050311	rno:313479		PF00004,PF01426,PF09079,PF17872	R-RNO-176187,R-RNO-68616,R-RNO-68689,R-RNO-68949,R-RNO-68962	NP_808792.1							
Q80ZF0	NA			AY232999											IPR000885,IPR008160,IPR013320,IPR048287,IPR050938			PF01391,PF01410		NP_942042.1							
Q80ZG5	rno:303057			AABR03074285,AABR03076495,AY207315,BC062243					303057						IPR021715,IPR039974	rno:303057		PF11708	R-RNO-159236,R-RNO-72163,R-RNO-72187,R-RNO-73856	NP_001094020.1,XP_008765864.1,XP_063125032.1,XP_063125033.1							
Q810I1	rno:288596			AY081950					288596						IPR000315,IPR001841,IPR001870,IPR003877,IPR003879,IPR006574,IPR013083,IPR013320,IPR017907,IPR027370,IPR043136,IPR050143	rno:288596		PF00622,PF00643,PF13445,PF13765	R-RNO-983168	NP_851594.1,XP_006249191.1							
Q810Y4	rno:353303		CPX-50	AY158896					353303						IPR008160,IPR050938	rno:353303		PF01391	R-RNO-1650814,R-RNO-8948216	NP_853667.1,XP_017453116.1,XP_017459534.1							
Q811M5	rno:24237			AY230250					24237						IPR000436,IPR000884,IPR001862,IPR002172,IPR002350,IPR003884,IPR020863,IPR020864,IPR023415,IPR035976,IPR036055,IPR036383,IPR048828,IPR048831	rno:24237		PF00057,PF00084,PF00090,PF01823,PF21195,PF21288	R-RNO-166665	NP_788263.1							
Q811Q0	rno:294961			AJ517198,AY191836					294961						IPR003930,IPR015382,IPR037096	rno:294961		PF03185,PF09303	R-RNO-1296052	NP_789831.1							
Q811Q1	rno:315344	3.2.2.27		AY191521					315344						IPR005122,IPR036895,IPR039134	rno:315344		PF03167	R-RNO-110329,R-RNO-110357	NP_808795.1,XP_008763971.1,XP_017450389.1,XP_017450390.1,XP_017450391.1,XP_038935276.1							
Q811X5	rno:266787			AY049022					266787						IPR019194,IPR027093	rno:266787		PF09816	R-RNO-112382,R-RNO-674695,R-RNO-75955	NP_742044.1							
Q8CFC1	rno:266670			AB083195,BC087650					266670						IPR003347,IPR039994,IPR046799	rno:266670		PF08007,PF20514	R-RNO-3214842,R-RNO-9629569	NP_695221.1,XP_038943977.1							
Q8CFD0	rno:261737			AB056724					261737						IPR004686	rno:261737		PF03820		NP_695210.1							
Q8CFD9	NA			AJ430418,AJ430419,AJ430420,AY273824,BX883046											IPR003599,IPR007110,IPR013106,IPR013783,IPR036179,IPR043226			PF07686									
Q8CGL2	rno:317676			AY170849					317676						IPR031428	rno:317676		PF15703	R-RNO-2730905	NP_776212.1							
Q8CGS5	rno:282826			AY149902					282826						IPR001279,IPR027794,IPR036866,IPR047151	rno:282826		PF12706,PF13691		NP_758829.1							
Q8CGU9	rno:317675	1.14.16.4		AY098915					317675						IPR001273,IPR002912,IPR005963,IPR018301,IPR019773,IPR019774,IPR036329,IPR036951,IPR041904,IPR045865	rno:317675		PF00351,PF01842	R-RNO-209931	NP_776211.1							
Q8CH01	rno:282829			AF521561,AY471575					282829						IPR013055	rno:282829				NP_758831.1							
Q8CH27	rno:140666			AF459022,AF459023,BC086974					140666						IPR006931,IPR012677,IPR034919,IPR035979	rno:140666		PF04847		NP_783168.1,XP_006244655.1							
Q8CHI9	rno:286974			AB086953,BC085687					286974						IPR000863,IPR027417,IPR052654	rno:286974		PF00685	R-RNO-2022870	NP_775432.3							
Q8CHJ1	rno:353304			AB086841,AY383714					353304						IPR009600	rno:353304		PF06728	R-RNO-162791	NP_853668.1							
Q8CHM3	NA			AJ297794											IPR029431			PF14839									
Q8CIX1	rno:266976			AF548739					266976						IPR000008,IPR035892,IPR039032	rno:266976		PF00168		NP_733766.1							
Q8CJ58	NA			AF482698											IPR026748												
Q8CJD3	rno:171449			AB095177,Z30584					171449						IPR001229,IPR036404,IPR052321	rno:171449		PF01419		NP_599236.2							
Q8CJE2	rno:78962			AB092512					78962						IPR000014,IPR013655,IPR022728,IPR035965,IPR048814,IPR050760	rno:78962		PF08447,PF12114,PF21353,PF23170		NP_076468.2							
Q8CJH7	rno:266738			AB037922					266738						IPR001356,IPR009057,IPR017970,IPR042412	rno:266738		PF00046		NP_705891.1,XP_008765886.1							
Q8K1G0	rno:286939			AF302047					286939						IPR003598,IPR003599,IPR007110,IPR013106,IPR013783,IPR036179,IPR042454	rno:286939		PF07686,PF13927		NP_775177.1,XP_017450986.1							
Q8K1M7	rno:286901			AB077854					286901						IPR009030,IPR020864,IPR033237	rno:286901		PF01823,PF19052,PF25415		NP_775144.1,XP_017454169.1,XP_017454170.1,XP_017454171.1,XP_017454172.1,XP_017454173.1,XP_017454174.1,XP_038946344.1							
Q8K1M8	rno:286895			AB077853					286895						IPR020864,IPR033237	rno:286895		PF01823,PF19052,PF25415		NP_775138.1,XP_038946339.1,XP_038946340.1,XP_038946341.1							
