Organism_Code	Organism_Name
sgrs	Streptomyces griseoaurantiacus
sls	Streptomyces lincolnensis
snr	Streptomyces noursei ATCC 11455
salu	Streptomyces noursei NK660
sall	Streptomyces noursei ZPM
splu	Streptomyces pluripotens
strd	Streptomyces sp. CCM_MD2014
snw	Streptomyces niveus
sauo	Streptomyces autolyticus
ssia	Streptomyces alfalfae
svu	Streptomyces violaceoruber
spun	Streptomyces fodineus
sgv	Streptomyces gilvosporeus
slau	Streptomyces laurentii
salf	Streptomyces alboflavus
salj	Streptomyces albireticuli
slx	Streptomyces lavendulae subsp. lavendulae
stro	Streptomyces sp. MOE7
sfk	Streptomyces formicae
snz	Streptomyces nigra
sge	Streptomyces griseorubiginosus
srj	Streptomyces rochei
slk	Streptomyces lunaelactis
sdx	Streptomyces dengpaensis
sgd	Streptomyces griseoviridis
sqz	Streptomyces qinzhouensis
scya	Streptomyces cyaneochromogenes
sast	Streptomyces calvus
snq	Streptomyces nodosus
stir	Streptomyces tirandamycinicus
ska	Streptomyces kanamyceticus
sgz	Streptomyces globosus
svn	Streptomyces vinaceus
snk	Streptomyces nitrosporeus
shaw	Streptomyces hawaiiensis
srk	Streptomyces rectiverticillatus
sfic	Streptomyces ficellus
sgal	Streptomyces galilaeus
sspo	Streptomyces spongiicola
svr	Streptomyces viridifaciens
spad	Streptomyces paludis
sfy	Streptomyces fagopyri
saqu	Streptomyces aquilus
sgf	Streptomyces griseofuscus
scav	Streptomyces cavourensis
sseo	Streptomyces seoulensis
sby	Streptomyces buecherae
srim	Streptomyces rimosus
ssub	Streptomyces subrutilus
sphv	Streptomyces phaeolivaceus
scin	Streptomyces cinereoruber
sfug	Streptomyces fungicidicus
spac	Streptomyces pactum
stsu	Streptomyces tsukubensis
scha	Streptomyces chartreusis
sgx	Streptomyces gardneri
scoe	Streptomyces coeruleorubidus
sbat	Streptomyces bathyalis
sspb	Streptomyces spectabilis
snf	Streptomyces nojiriensis
spla	Streptomyces platensis
sbro	Streptomyces broussonetiae
stui	Streptomyces tuirus
sata	Streptomyces atratus
schf	Streptomyces chromofuscus
shun	Streptomyces hundungensis
shar	Streptomyces harbinensis
scyg	Streptomyces cyanogenus
sfeu	Streptomyces ferrugineus
slia	Streptomyces liangshanensis
sdw	Streptomyces decoyicus
svd	Streptomyces viridosporus
scal	Streptomyces californicus
sauh	Streptomyces auratus
sfb	Streptomyces fradiae
smob	Streptomyces mobaraensis
spra	Streptomyces prasinus
speu	Streptomyces peucetius subsp. caesius
sroi	Streptomyces roseirectus
sxn	Streptomyces xanthii
sgj	Streptomyces genisteinicus
shk	Streptomyces huasconensis
sanu	Streptomyces angustmyceticus
stry	Streptomyces sp. S6
sdd	Streptomyces dangxiongensis
sact	Streptomyces actuosus
smao	Streptomyces marincola
sgob	Streptomyces gobiensis
sine	Streptomyces inhibens
slf	Streptomyces liliifuscus
sdec	Streptomyces deccanensis
saov	Streptomyces aureoverticillatus
sdur	Streptomyces durmitorensis
syan	Streptomyces yangpuensis
srug	Streptomyces rutgersensis
sakb	Streptomyces akebiae
staa	Streptomyces tanashiensis
snig	Streptomyces nigrescens
svio	Streptomyces violascens
scae	Streptomyces caniscabiei
stub	Streptomyces tubbatahanensis
sspn	Streptomyces spinosirectus
scir	Streptomyces cinnabarinus
sxt	Streptomyces xanthophaeus
slon	Streptomyces longhuiensis
sdrz	Streptomyces drozdowiczii
stud	Streptomyces tubercidicus
stee	Streptomyces tendae
seng	Streptomyces endophytica
sgk	Streptomyces goshikiensis
sant	Streptomyces antimycoticus
syun	Streptomyces yunnanensis
sarg	Streptomyces argyrophylli
sjn	Streptomyces janthinus
scyn	Streptomyces cynarae
sov	Streptomyces olivoreticuli
sfiy	Streptomyces finlayi
shau	Streptomyces halobius
skg	Streptomyces koelreuteriae
scoa	Streptomyces coralus
slai	Streptomyces laculatispora
sroc	Streptomyces roseicoloratus
sfp	Streptomyces flavofungini
schg	Streptomyces changanensis
sttn	Streptomyces sp. TN58
sinn	Streptomyces incarnatus
strz	Streptomyces sp. 71268
scay	Streptomyces cathayae
kbu	Streptomyces sp. NL15-2K
sarm	Streptomyces armeniacus
sprf	Streptomyces profundus
sluo	Streptomyces luomodiensis
stpb	Streptomyces sp. PBH53
srpa	Streptomyces sp. RPA4-5
smib	Streptomyces mirabilis
scaj	Streptomyces camelliae
strw	Streptomyces sp. WP-1
strl	Streptomyces sp. RLB1-33
stsd	Streptomyces sp. S1D4-11
srpz	Streptomyces sp. RPA4-2
sche	Streptomyces chengbuensis
sgly	Streptomyces glycanivorans
scat	Streptomyces castrisilvae
stii	Streptomyces sp. ICC1
stic	Streptomyces sp. ICC4
sabd	Streptomyces albidocamelliae
strv	Streptomyces sp. VN1
spaz	Streptomyces parvus
spih	Streptomyces phytohabitans
smod	Streptomyces moderatus
sct	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488
scy	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488
ksk	Kitasatospora setae
kab	Kitasatospora albolonga
kau	Kitasatospora aureofaciens
kit	Kitasatospora sp. MMS16-BH015
kis	Kitasatospora sp. NA04385
kch	Kitasatospora cathayae
stri	Peterkaempfera bronchialis
yia	Yinghuangia sp. ASG 101
strh	Streptacidiphilus sp. P02-A3a
abry	Actinacidiphila bryophytorum
agla	Actinacidiphila glaucinigra
arev	Actinacidiphila reveromycinica
twh	Tropheryma whipplei Twist
tws	Tropheryma whipplei TW08/27
lxl	Luteimicrobium xylanilyticum
psic	Pengzhenrongella sicca
pphp	Pengzhenrongella phosphoraccumulans
lxx	Leifsonia xyli subsp. xyli CTCB07
lxy	Leifsonia xyli subsp. cynodontis DSM 46306
leif	Leifsonia sp. PS1209
lse	Leifsonia shinshuensis
leiz	Leifsonia sp. ZF2019
cmi	Clavibacter michiganensis subsp. michiganensis
cmh	Clavibacter michiganensis subsp. insidiosus
cms	Clavibacter sepedonicus
cmc	Clavibacter nebraskensis
ccap	Clavibacter capsici
czh	Clavibacter zhangzhiyongii
cpha	Clavibacter phaseoli
ccaf	Clavibacter californiensis
mts	Microbacterium testaceum
mim	Microbacterium sp. CGR1
mio	Microbacterium sp. No. 7
mix	Microbacterium sp. XT11
mip	Microbacterium sp. PAMC 28756
mcw	Microbacterium chocolatum
mpal	Microbacterium paludicola
mih	Microbacterium sp. BH-3-3-3
micr	Microbacterium sp. 1.5R
maur	Microbacterium aurum
mhos	Microbacterium hominis
mfol	Microbacterium foliorum
moo	Microbacterium oleivorans
mlv	Microbacterium lemovicicum
mwa	Microbacterium wangchenii
mprt	Microbacterium protaetiae
msed	Microbacterium sediminis
moy	Microbacterium oxydans
msf	Microbacterium schleiferi
mcaw	Microbacterium caowuchunii
mlz	Microbacterium lushaniae
mrn	Microbacterium resistens
mics	Microbacterium sp. SGAir0570
mbin	Microbacterium binotii
mliq	Microbacterium maritypicum
mtec	Microbacterium terricola
mpao	Microbacterium paraoxydans
maza	Microbacterium azadirachtae
mely	Microbacterium elymi
mnf	Microbacterium neungamense
msuw	Microbacterium suwonense
mark	Microbacterium arborescens
mrg	Microbacterium rhizosphaerae
minv	Microbacterium invictum
mest	Microbacterium esteraromaticum
moj	Microbacterium oryzae
mpln	Microbacterium plantarum
mliy	Microbacterium limosum
mice	Microbacterium sp. RG1
maug	Microbacterium aurugineum
msuf	Microbacterium sufflavum
mhot	Microbacterium horticulturae
mgab	Microbacterium galbinum
mbet	Microbacterium betulae
micm	Microbacterium sp. che218
mchn	Paramicrobacterium chengjingii
rla	Rhodoluna lacicola
rpla	Candidatus Rhodoluna planktonica
rhok	Rhodoluna sp. KAS3
aqg	Aquiluna borgnonia
aqk	Aquiluna sp. KACHI24
rtx	Rathayibacter toxicus 70137
rtc	Rathayibacter toxicus WAC3373
rtn	Rathayibacter tritici
rry	Rathayibacter rathayi
ria	Rathayibacter iranicus
rfs	Rathayibacter festucae
rte	Rathayibacter tanaceti
roe	Rathayibacter oskolensis
rath	Rathayibacter sp. VKM Ac-2759
cum	Curtobacterium sp. MR_MD2014
cub	Curtobacterium sp. BH-2-1-1
cug	Curtobacterium sp. SGAir0471
cqf	Curtobacterium flaccumfaciens
ccit	Curtobacterium citreum
cuf	Curtobacterium aetherium
cuy	Curtobacterium sp. YC1
cpoi	Curtobacterium poinsettiae
curt	Curtobacterium sp. TXMA1
curz	Curtobacterium sp. C1
mvd	Microterricola viridarii
frp	Frondihabitans sp. PAMC 28766
fsb	Frondihabitans sucicola
agy	Agromyces aureus
agm	Agromyces badenianii
agf	Agromyces protaetiae
aarc	Agromyces archimandritae
amau	Agromyces marinus
asoi	Agromyces soli
amav	Agromyces mangrovi
alav	Agromyces larvae
ail	Agromyces intestinalis
cart	Cryobacterium arcticum
cry	Cryobacterium sp. LW097
cphy	Cnuibacter physcomitrellae
amin	Aurantimicrobium minutum
aum	Aurantimicrobium photophilum
auw	Aurantimicrobium sp. MWH-Uga1
aut	Aurantimicrobium sp. INA4
psai	Pontimonas salivibrio
malk	Microcella alkaliphila
chre	Chryseoglobus sp. 28M-23
mhum	Microcella humidisoli
mdb	Microcella daejeonensis
myl	Mycetocola zhujimingii
mspo	Mycetocola spongiae
salc	Salinibacterium hongtaonis
sala	Salinibacterium sp. UTAS2018
sald	Salinibacterium sp. dk2585
hum	Humibacter sp. BT305
huw	Humibacter ginsenosidimutans
gry	Gryllotalpicola protaetiae
lyd	Protaetiibacter intestinalis
lyk	Protaetiibacter larvae
proa	Protaetiibacter sp. SSC-01
plap	Plantibacter sp. PA-3-X8
pflu	Plantibacter flavus
leu	Leucobacter muris
ltr	Leucobacter triazinivorans
leb	Leucobacter coleopterorum
ldn	Leucobacter denitrificans
lvi	Leucobacter viscericola
lins	Leucobacter insecticola
llut	Leucobacter luti
lari	Leucobacter aridicollis
lall	Leucobacter allii
lrp	Leucobacter rhizosphaerae
ltn	Leucobacter tenebrionis
agg	Agrococcus sp. SGAir0287
agro	Agrococcus sp. Marseille-Q4369
mant	Marisediminicola antarctica
hea	Herbiconiux sp. SALV-R1
heh	Herbiconiux sp. L3-i23
frn	Frigoribacterium sp. NBH87
gln	Glaciihabitans sp. INWT7
agx	Agreia sp. COWG
subt	Subtercola sp. PAMC28395
suba	Subtercola endophyticus
psev	Pseudoclavibacter triregionum
gsd	Gulosibacter sediminis
gmn	Gulosibacter molinativorax
hom	Homoserinibacter sp. YIM 151385
naei	Naasia aerilata
lyh	Lysinibacter sp. HNR
aog	Antiquaquibacter oligotrophicus
art	Arthrobacter sp. FB24
arr	Arthrobacter sp. Rue61a
arm	Arthrobacter sp. PAMC 25486
arl	Arthrobacter sp. 'calajunan' LS16
are	Arthrobacter sp. ERGS1:01
aaq	Arthrobacter alpinus R3.8
arw	Arthrobacter alpinus A3
arh	Arthrobacter sp. Hiyo8
ary	Arthrobacter sp. YC-RL1
aru	Arthrobacter sp. U41
arq	Arthrobacter sp. QXT-31
arn	Arthrobacter sp. YN
arx	Arthrobacter sp. ZXY-2
acry	Arthrobacter crystallopoietes
arth	Arthrobacter sp. PGP41
artp	Arthrobacter sp. PAMC25564
acit	Arthrobacter citreus
aagi	Arthrobacter agilis
ajg	Arthrobacter jiangjiafuii
asun	Arthrobacter sunyaminii
asuf	Arthrobacter sulfonylureivorans
arty	Arthrobacter sp. Hiyo4
apoa	Arthrobacter polaris
aww	Arthrobacter woluwensis
acao	Arthrobacter caoxuetaonis
azh	Arthrobacter zhangbolii
ageg	Arthrobacter gengyunqii
aod	Arthrobacter oryzae
ako	Arthrobacter koreensis
azx	Arthrobacter zhaoxinii
ajr	Arthrobacter jinronghuae
artm	Arthrobacter sp. MN05-02
artu	Arthrobacter sp. UKPF54-2
artz	Arthrobacter sp. 24S4-2
artq	Arthrobacter sp. 7749
arta	Arthrobacter sp. ATA002
arto	Arthrobacter sp. OVS8
ari	Psychromicrobium lacuslunae
aau	Paenarthrobacter aurescens
pue	Paenarthrobacter ureafaciens
pnv	Paenarthrobacter nicotinovorans
payj	Paenarthrobacter sp. YJN-5
pago	Paenarthrobacter sp. GOM3
payn	Paenarthrobacter sp. YJN-D
phrz	Paenarthrobacter sp. R1
arz	Arthrobacter sp. ATCC 21022
ach	Pseudarthrobacter chlorophenolicus
apn	Pseudarthrobacter phenanthrenivorans
psul	Pseudarthrobacter sulfonivorans
psni	Pseudarthrobacter sp. NIBRBAC000502771
psey	Pseudarthrobacter psychrotolerans
pdel	Pseudarthrobacter defluvii
pok	Pseudarthrobacter oxydans
psls	Pseudarthrobacter sp. L1SW
psfe	Pseudarthrobacter sp. Fe7
pqa	Pseudarthrobacter quantipunctorum
aai	Glutamicibacter arilaitensis
gar	Glutamicibacter halophytocola
gcr	Glutamicibacter creatinolyticus
glu	Glutamicibacter sp. ZJUTW
gpr	Glutamicibacter protophormiae
gmi	Glutamicibacter mishrai
gmy	Glutamicibacter mysorens
gnc	Glutamicibacter nicotianae
glm	Glutamicibacter sp. M10
gey	Glutamicibacter ectropisis
rsa	Renibacterium salmoninarum
krh	Kocuria rhizophila
kpl	Kocuria palustris
kfv	Kocuria flava
kii	Kocuria marina subsp. indica
krs	Kocuria rosea
kod	Kocuria sp. KD4
kvr	Kocuria varians
mlu	Micrococcus luteus
mick	Micrococcus sp. KBS0714
myu	Micrococcus yunnanensis
mly	Micrococcus lylae
mpor	Micrococcus porci
mteu	Micrococcus terreus
micu	Micrococcus sp. HOU01
rmu	Rothia mucilaginosa
rdn	Rothia dentocariosa
raj	Rothia aeria
rter	Rothia terrae
rama	Rothia amarae
rkr	Rothia kristinae
satk	Sinomonas atrocyanea
ccyc	Sinomonas cyclohexanicum
nae	Neomicrococcus aestuarii
aul	Auritidibacter sp. NML130574
aig	Auritidibacter ignavus
cig	Citricoccus sp. SGAir0253
cmua	Citricoccus muralis
paey	Paeniglutamicibacter sp. Y32M11
palu	Pseudoglutamicibacter albus
bcv	Beutenbergia cavernae
bfa	Brachybacterium faecium
brx	Brachybacterium sp. P6-10-X1
brv	Brachybacterium avium
bgg	Brachybacterium ginsengisoli
brz	Brachybacterium vulturis
bsau	Brachybacterium saurashtrense
brr	Brachybacterium sp. SGAir0954
bki	Brachybacterium kimchii
brha	Brachybacterium sp. NBEC-018
bhh	Brachybacterium halotolerans subsp. kimchii
bhq	Brachybacterium huguangmaarense
brac	Brachybacterium sp. GU-2
dva	Dermabacter vaginalis
djj	Dermabacter jinjuensis
dhm	Dermabacter hominis
hmm	Helcobacillus massiliensis
jde	Jonesia denitrificans
kse	Kytococcus sedentarius
dni	Dermacoccus nishinomiyaensis
day	Dermacoccus abyssi
derm	Dermacoccus sp. PAMC28757
lmoi	Luteipulveratus mongoliensis
yim	Yimella sp. cx-51
alx	Allobranchiibius sp. GilTou73
bei	Barrientosiimonas endolithica
xce	Xylanimonas cellulosilytica
xyl	Xylanimonas allomyrinae
xya	Xylanimonas protaetiae
iva	Isoptericola variabilis
ido	Isoptericola dokdonensis
cet	Cellulosimicrobium sp. TH-20
cceu	Cellulosimicrobium cellulans
cprt	Cellulosimicrobium protaetiae
prou	Promicromonospora sp. Populi
ske	Sanguibacter keddieii
sanw	Sanguibacter sp. HDW7
sbil	Sanguibacter biliveldensis
cfl	Cellulomonas flavigena
cfi	Cellulomonas fimi
cga	Cellulomonas gilvus
cez	Cellulomonas sp. PSBB021
celz	Cellulomonas shaoxiangyii
cej	Cellulomonas sp. JZ18
celh	Cellulomonas sp. H30R-01
cira	Cellulomonas iranensis
cpal	Cellulomonas palmilytica
celc	Cellulomonas sp. C5510
cdon	Cellulomonas dongxiuzhuiae
cwan	Cellulomonas wangleii
cfen	Cellulomonas fengjieae
cwn	Cellulomonas wangsupingiae
cche	Cellulomonas chengniuliangii
cxie	Cellulomonas xiejunii
cele	Cellulomonas sp. ES6
cela	Cellulomonas sp. ATA003
celn	Cellulomonas sp. NTE-D12
oek	Oerskovia sp. KBS0722
psei	Pseudactinotalea sp. HY158
psek	Paraoerskovia sediminicola
ica	Intrasporangium calvum
ars	Arsenicicoccus sp. oral taxon 190
jte	Janibacter indicus
jli	Janibacter limosus
jme	Janibacter melonis
jay	Janibacter sp. YB324
jcr	Janibacter cremeus
jai	Janibacter alittae
jtr	Janibacter terrae
teh	Nostocoides sp. HKS02
phw	Phycicoccus sp. HDW14
pei	Phycicoccus endophyticus
ted	Terrabacter sp. C0L_2
kno	Knoellia sp. S7-12
serj	Serinicoccus hydrothermalis
orn	Ornithinimicrobium avium
orz	Ornithinimicrobium ciconiae
ord	Ornithinimicrobium sp. INDO-MA30-4
ocp	Ornithinimicrobium cryptoxanthini
ofa	Ornithinimicrobium faecis
serw	Ornithinimicrobium pratense
bly	Brevibacterium linens BS258
blin	Brevibacterium aurantiacum
bri	Brevibacterium sp. CS2
blut	Brevibacterium luteolum
bcau	Brevibacterium casei
bspo	Brevibacterium spongiae
breb	Brevibacterium sp. BDJS002
brej	Brevibacterium sp. JSBI002
dco	Dermatophilus congolensis
aus	Austwickia sp. Fred_18-Q3-R57-64_BATAC.85v2
gez	Georgenia wutianyii
gyu	Georgenia yuyongxinii
gew	Georgenia sp. TF02-10
halt	Ruania alkalisoli
rhal	Ruania halotolerans
rsua	Ruania suaedae
dem	Demequina sp. TMPB413
dss	Demequina sediminis
dcp	Demequina capsici
pac	Cutibacterium acnes KPA171202
pak	Cutibacterium acnes SK137
pav	Cutibacterium acnes TypeIA2 P.acn17
pax	Cutibacterium acnes TypeIA2 P.acn31
paz	Cutibacterium acnes TypeIA2 P.acn33
paw	Cutibacterium acnes 266
pad	Cutibacterium acnes subsp. defendens ATCC 11828
pcn	Cutibacterium acnes 6609
pacc	Cutibacterium acnes C1
pach	Cutibacterium acnes HL096PA1
pacn	Cutibacterium acnes hdn-1
cacn	Cutibacterium acnes KCOM 1861 (= ChDC B594)
pra	Cutibacterium avidum
prl	Cutibacterium modestum
cgrn	Cutibacterium granulosum
cequ	Cutibacterium equinum
pfr	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1
pfre	Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
pacd	Propionibacterium acidifaciens
paus	Propionibacterium australiense
ppc	Pseudopropionibacterium propionicum
arub	Arachnia rubra
pbo	Acidipropionibacterium acidipropionici ATCC 4875
aaci	Acidipropionibacterium acidipropionici CGMCC 1.2230
acij	Acidipropionibacterium virtanenii
aji	Acidipropionibacterium jensenii
mph	Microlunatus phosphovorus
mik	Microlunatus elymi
micg	Microlunatus sp. Gsoil 973
tfl	Tessaracoccus flavus
tfa	Tessaracoccus flavescens
tes	Tessaracoccus aquimaris
tez	Tessaracoccus sp. T2.5-30
tdf	Tessaracoccus defluvii
tla	Tessaracoccus lapidicaptus
tej	Tessaracoccus palaemonis
tls	Tessaracoccus lacteus
rain	Raineyella fluvialis
prv	Propioniciclava coleopterorum
brt	Propioniciclava sp. MC1595
psoi	Propioniciclava soli
prop	Propionimicrobium sp. PCR01-08-3
broo	Brooklawnia propionicigenes
nca	Nocardioides sp. JS614
ndk	Nocardioides dokdonensis
noy	Nocardioides euryhalodurans
noi	Nocardioides jishulii
noo	Nocardioides sp. S-1144
ndp	Nocardioides daphniae
nsn	Nocardioides seonyuensis
nbe	Nocardioides baekrokdamisoli
nano	Nocardioides anomalus
nmes	Nocardioides mesophilus
naro	Nocardioides aromaticivorans
npi	Nocardioides piscis
naqu	Nocardioides aquaticus
nro	Nocardioides rotundus
noq	Nocardioides okcheonensis
ncq	Nocardioides coralli
npc	Nocardioides panacisoli
nps	Nocardioides panacis
nmar	Nocardioides marmotae
nfc	Nocardioides faecalis
nrn	Nocardioides renjunii
nbi	Nocardioides bizhenqiangii
nof	Nocardioides sp. TF02-7
nocr	Nocardioides sp. Arc9.136
nocw	Nocardioides sp. WV_118_6
noca	Nocardioides sp. JQ2195
nocl	Nocardioides sp. LMS-CY
nocd	Nocardioides sp. L-11A
nocq	Nocardioides sp. QY071
psim	Pimelobacter simplex
aer	Aeromicrobium erythreum
aez	Aeromicrobium chenweiae
aeb	Aeromicrobium sp. A1-2
aef	Aeromicrobium yanjiei
asez	Aeromicrobium senzhongii
adb	Aeromicrobium duanguangcaii
awn	Aeromicrobium wangtongii
mgg	Micropruina glycogenica
muz	Mumia sp. ZJ1417
sgrg	Solicola gregarius
nbt	Nocardioidaceae bacterium TYQ2
kfl	Kribbella flavida
kqi	Kribbella qitaiheensis
ksl	Kribbella soli
kri	Kribbella sp. CA-293567
tfu	Thermobifida fusca
thao	Thermobifida halotolerans
talx	Thermobifida alba
nda	Nocardiopsis dassonvillei
nal	Nocardiopsis alba
ngv	Nocardiopsis gilva
nfe	Nocardiopsis flavescens
nex	Nocardiopsis exhalans
nec	Nocardiopsis eucommiae
nake	Nocardiopsis akebiae
ncg	Nocardiopsis changdeensis
strr	Streptomonospora litoralis
snah	Streptomonospora nanhaiensis
saiu	Spiractinospora alimapuensis
tcu	Thermomonospora curvata
actw	Actinomadura sp. WMMB 499
agra	Actinomadura graeca
amaz	Actinomadura madurae
acir	Actinomadura citrea
spiq	Spirillospora sp. NBC_01491
actq	Actinoallomurus sp. NBC_01490
sro	Streptosporangium roseum
noa	Actinomadura parvosata subsp. kistnae
now	Nonomuraea phyllanthi
ncx	Nonomuraea coxensis
ngn	Nonomuraea gerenzanensis
nfs	Nonomuraea fuscirosea
tbi	Thermobispora bispora
mhai	Microbispora hainanensis
fra	Frankia casuarinae
fal	Frankia alni
fre	Parafrankia sp. EAN1pec
fsy	Candidatus Protofrankia datiscae
fri	Pseudofrankia inefficax
ace	Acidothermus cellulolyticus
nml	Nakamurella multipartita
nak	Nakamurella antarctica
naka	Nakamurella sp. PAMC28650
gob	Geodermatophilus obscurus
bsd	Blastococcus saxobsidens
blap	Blastococcus sp. PRF04-17
bbrg	Blastococcus brunescens
bmon	Blastococcus montanus
mmar	Modestobacter italicus
mom	Modestobacter sp. L9-4
kra	Kineococcus radiotolerans
sen	Saccharopolyspora erythraea
sacg	Saccharopolyspora sp. ASAGF58
svi	Saccharomonospora viridis
sacc	Saccharomonospora xinjiangensis
amd	Amycolatopsis mediterranei U32
amn	Amycolatopsis mediterranei S699
amm	Amycolatopsis mediterranei S699
amz	Amycolatopsis mediterranei RB
aoi	Amycolatopsis keratiniphila
aja	Amycolatopsis japonica
amq	Amycolatopsis methanolica
amyc	Amycolatopsis sp. AA4
amyb	Amycolatopsis sp. BJA-103
aab	Amycolatopsis albispora
amyy	Amycolatopsis sp. YIM 10
aori	Amycolatopsis orientalis
aacd	Amycolatopsis acidiphila
aprt	Amycolatopsis sp. FBCC-B4732
aroo	Amycolatopsis roodepoortensis
athm	Amycolatopsis thermalba
arhd	Amycolatopsis rhabdoformis
amog	Amycolatopsis mongoliensis
acyn	Amycolatopsis cynarae
acor	Amycolatopsis coloradensis
amyz	Amycolatopsis sp. CA-230715
acab	Amycolatopsis carbonis
anw	Amycolatopsis nalaikhensis
amyd	Amycolatopsis sp. DSM 110486
abar	Amycolatopsis bartoniae
amye	Amycolatopsis sp. EV170708-02-1
amys	Amycolatopsis sp. TNS106
pdx	Pseudonocardia dioxanivorans
psea	Pseudonocardia sp. AL041005-10
psee	Pseudonocardia sp. EC080625-04
pseh	Pseudonocardia sp. HH130629-09
pseq	Pseudonocardia sp. EC080610-09
pecq	Pseudonocardia sp. EC080619-01
phh	Pseudonocardia sp. HH130630-07
paut	Pseudonocardia autotrophica
pbro	Pseudonocardia broussonetiae
ppel	Pseudonocardia petroleophila
psds	Pseudonocardia sp. DSM 110487
apre	Actinosynnema pretiosum
ami	Actinosynnema mirum
sesp	Saccharothrix espanaensis
ssyi	Saccharothrix syringae
sacx	Saccharothrix sp. 6-C
kal	Kutzneria albida
kut	Kutzneria sp. CA-103260
kbr	Kutzneria buriramensis
kphy	Kibdelosporangium phytohabitans
led	Lentzea guizhouensis
ahm	Actinoalloteichus hymeniacidonis
acti	Actinoalloteichus sp. GBA129-24
acad	Actinoalloteichus fjordicus
ahg	Actinoalloteichus hoggarensis
acta	Actinoalloteichus sp. AHMU CJ021
alo	Alloactinosynnema sp. L-07
pmad	Prauserella marina
sace	Allosaccharopolyspora coralli
actu	Actinokineospora sp. UTMC 2448
cros	Crossiella sp. CA-258035
acty	Actinomycetospora sp. NBC_00405
ume	Umezawaea sp. Da 62-37
stp	Salinispora tropica
saq	Salinispora arenicola
mau	Micromonospora aurantiaca
mil	Micromonospora sp. L5
micb	Micromonospora sp. B006
mtua	Micromonospora tulbaghiae
mich	Micromonospora sp. HM134
mtem	Micromonospora terminaliae
mcab	Micromonospora carbonacea
msag	Micromonospora sagamiensis
vma	Micromonospora maris
mcra	Micromonospora craniellae
ver	Verrucosispora sp. NA02020
meno	Micromonospora endophytica
mchl	Micromonospora chalcea
mfeu	Micromonospora robiginosa
mprn	Micromonospora profundi
mhaw	Micromonospora halotolerans
mcay	Micromonospora cathayae
micf	Micromonospora sp. FIMYZ51
ase	Actinoplanes sp. SE50/110
ams	Actinoplanes missouriensis
actn	Actinoplanes sp. N902-109
acts	Actinoplanes sp. SE50
aih	Actinoplanes ianthinogenes
actr	Actinoplanes sp. NBRC 14428
actl	Actinoplanes sp. L3-i22
asic	Actinoplanes sichuanensis
aou	Actinoplanes oblitus
acte	Actinoplanes sp. OR16
afs	Actinoplanes friuliensis
plk	Plantactinospora sp. KBS50
plab	Plantactinospora sp. BC1
plat	Plantactinospora sp. BB1
pfla	Phytohabitans flavus
psuu	Phytohabitans suffuscus
atl	Actinocatenispora thailandica
aser	Actinocatenispora sera
pry	Polymorphospora rubra
cati	Catellatospora sp. IY07-71
dvc	Dactylosporangium vinaceum
dfu	Dactylosporangium fulvum
dros	Dactylosporangium roseum
daur	Dactylosporangium aurantiacum
dmat	Dactylosporangium matsuzakiense
dact	Dactylosporangium sp. AC04546
nhy	Natronosporangium hydrolyticum
ccaz	Couchioplanes caeruleus
cai	Catenulispora acidiphila
sna	Stackebrandtia nassauensis
nav	Natronoglycomyces albus
gly	Glycomyces sp. TRM65418
ahe	Arcanobacterium haemolyticum
arca	Arcanobacterium buesumense
apho	Arcanobacterium phocisimile
apii	Arcanobacterium pinnipediorum
awl	Arcanobacterium wilhelmae
acas	Arcanobacterium canis
ahx	Arcanobacterium hippocoleae
mcu	Mobiluncus curtisii
tpy	Trueperella pyogenes TP6375
tpyo	Trueperella pyogenes TP8
tbw	Trueperella bialowiezensis
tpec	Trueperella pecoris
tber	Trueperella bernardiae
asg	Actinotignum schaalii
auu	Actinotignum urinale
atim	Actinotignum timonense
actt	Actinobaculum sp. 313
amy	Schaalia meyeri
soo	Schaalia odontolytica
stuc	Schaalia turicensis
acq	Actinomyces sp. oral taxon 414
aos	Actinomyces oris
ard	Actinomyces radicidentis
actp	Actinomyces gaoshouyii
actc	Actinomyces sp. Chiba101
acto	Actinomyces sp. oral taxon 897
ane	Actinomyces naeslundii
ahw	Actinomyces howellii
actz	Actinomyces sp. 432
air	Actinomyces israelii
asla	Actinomyces slackii
avc	Actinomyces viscosus
awe	Actinomyces weissii
amam	Actinomyces marmotae
arep	Actinomyces respiraculi
agh	Actinomyces graevenitzii
actm	Actinomyces sp. zg-332
amas	Actinomyces massiliensis
acap	Actinomyces capricornis
auo	Actinomyces urogenitalis
alil	Actinomyces lilanjuaniae
acth	Actinomyces sp. HMT897
achn	Actinomyces sp. HMT 175
avu	Boudabousia tangfeifanii
fsl	Flaviflexus salsibiostraticola
flh	Flaviflexus ciconiae
wik	Nanchangia anserum
wne	Winkia neuii subsp. anitrata
geu	Gleimia europaea
ghm	Gleimia hominis
vcb	Varibaculum cambriense
phon	Pauljensenia hongkongensis
sapp	Scrofimicrobium appendicitidis
bfy	Buchananella felis
blo	Bifidobacterium longum NCC2705
blj	Bifidobacterium longum DJO10A
bln	Bifidobacterium longum subsp. infantis ATCC 15697 (JGI)
